year,disease,alder,køn,uddannelse,arbejdsmarked,allocator,type,outcome
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Mand,Faglært,Aktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Ambulant,0,0
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,0,1.63336182945074
-2,Andre Lidelser_Hjertekar,65+ år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Skadestue,0,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Kvinde,Faglært,Aktiv,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Kvinde,Faglært,Aktiv,Psykiatrien_Indlæggelse,1,0.0321402483564646
-2,Andre Lidelser_Ryg- og Nakkesmerter,18-49 år,Kvinde,Faglært,Aktiv,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,3.08586702305379
-2,Andre Lidelser_Hjertekar,50-65 år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Psykiske Lidelser_Mild,50-65 år,Mand,Faglært,Inaktiv,Psykiatrien_Ambulant,1,0
-2,Psykiske Lidelser_Mild,50-65 år,Mand,Faglært,Inaktiv,Psykiatrien_Indlæggelse,1,3.84554678692221
-2,Psykiske Lidelser_Mild,50-65 år,Mand,Faglært,Inaktiv,Psykiatrien_Skadestue,1,0
-2,Psykiske Lidelser_Moderat,18-49 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Ambulant,1,0
-2,Psykiske Lidelser_Moderat,18-49 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Indlæggelse,1,36.6550308008214
-2,Psykiske Lidelser_Moderat,18-49 år,Kvinde,Ufaglært,Inaktiv,Psykiatrien_Skadestue,1,0
-2,Cancer_Tarm,65+ år,Mand,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Cancer_Tarm,65+ år,Mand,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,0.0451165096678235
-2,Cancer_Tarm,65+ år,Mand,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_KOL,50-65 år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_KOL,50-65 år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,20.7533101045296
-2,Andre Lidelser_KOL,50-65 år,Kvinde,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_KOL,65+ år,Mand,Ufaglært,Udenfor,Psykiatrien_Ambulant,1,0
-2,Andre Lidelser_KOL,65+ år,Mand,Ufaglært,Udenfor,Psykiatrien_Indlæggelse,1,0.274754901960784
-2,Andre Lidelser_KOL,65+ år,Mand,Ufaglært,Udenfor,Psykiatrien_Skadestue,1,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Kvinde,Videregående Uddannelse,Udenfor,Psykiatrien_Ambulant,0,0
-2,Andre Lidelser_Ryg- og Nakkesmerter,50-65 år,Kvinde,Videregående Uddannelse,Udenfor,Psykiatrien_Indlæggelse,0,1.38888888888889
